country,year,month,y_true,y_pred,pm25,pm10,no2,o3,co,dci,log_pm25,log_pm10,log_no2,log_o3,log_co,hei,obi,cop,sas,log_pm25_roll3,log_pm25_roll6,log_pm25_lag1,log_no2_roll3,log_no2_roll6,log_no2_lag1,hei_roll3,hei_roll6,hei_lag1,clean_cooking_access,electrification_rate,urban_population_pct
Cambodia,2023,10,38.0,31.218597,-0.7765074,-0.11783347,-0.08075218,0.0032823803,-0.20777935,0.0,0.0,0.0,0.0,0.006015822,-0.021767255,0.008077662,0.0,0.0,0.006415195,-0.00093034585,0.030320473,0.001752465,0.0328775,-0.11942008,0.15246792,-0.01434233,-0.057150934,0.0,-3.0536942,3.6297114,0.8129253
Cambodia,2023,11,38.0,31.218597,-0.7765074,-0.11783347,-0.08075218,0.0032823803,-0.20777935,0.0,0.0,0.0,0.0,0.006015822,-0.021767255,0.008077662,0.0,0.0,0.006415195,-0.00093034585,0.030320473,0.001752465,0.0328775,-0.11942008,0.15246792,-0.01434233,-0.057150934,0.0,-3.0536942,3.6297114,0.8129253
Cambodia,2023,12,38.0,31.218597,-0.7765074,-0.11783347,-0.08075218,0.0032823803,-0.20777935,0.0,0.0,0.0,0.0,0.006015822,-0.021767255,0.008077662,0.0,0.0,0.006415195,-0.00093034585,0.030320473,0.001752465,0.0328775,-0.11942008,0.15246792,-0.01434233,-0.057150934,0.0,-3.0536942,3.6297114,0.8129253
Singapore,2022,8,5.5,22.871061,0.32541275,-0.014465175,-0.059198435,0.0038669866,-0.13441876,0.0,0.0,0.0,0.0,0.0061794333,-0.0267276,0.008077662,0.0,0.0,0.00077219936,-0.0017743299,0.0016382257,0.00017564572,0.09416015,-0.1444081,0.014568023,-0.01434233,-0.10715842,0.0,-0.92655253,-4.024402,-3.1152644
Singapore,2022,9,5.5,22.871061,0.32541275,0.045770787,-0.026525216,0.0038669866,-0.13441876,0.0,0.0,0.0,0.0,0.0061794333,-0.0267276,0.008077662,0.0,0.0,0.00077219936,-0.0017743299,0.0016382257,0.00017564572,0.09416015,-0.1444081,0.014568023,-0.01434233,-0.10715842,0.0,-0.9139349,-4.129929,-3.1152644
Singapore,2022,10,5.5,22.347668,-0.23515388,-0.031327326,-0.017853923,0.0040805135,-0.13537231,0.0,0.0,0.0,0.0,0.00818179,-0.0267276,0.021436382,0.0,0.0,0.00077219936,-0.0017743299,-0.0035511767,0.00017564572,0.09416015,-0.55747294,0.008509197,-0.021336356,-0.12406951,0.0,-0.99891055,-3.5057518,-3.1152644
Singapore,2022,11,5.5,22.347668,-0.23515388,-0.031327326,-0.017853923,0.0040805135,-0.13537231,0.0,0.0,0.0,0.0,0.00818179,-0.0267276,0.021436382,0.0,0.0,0.00077219936,-0.0017743299,-0.0035511767,0.00017564572,0.09416015,-0.55747294,0.008509197,-0.021336356,-0.12406951,0.0,-0.99891055,-3.5057518,-3.1152644
Singapore,2022,12,5.5,22.347668,-0.2325341,-0.014465175,-0.017853923,0.0040805135,-0.13537231,0.0,0.0,0.0,0.0,0.00818179,-0.0267276,0.021436382,0.0,0.0,0.00077219936,-0.0017743299,-0.0035511767,0.00017564572,0.09416015,-0.5599879,0.0091862995,-0.021336356,-0.12406951,0.0,-0.9971205,-3.525186,-3.1152644
Singapore,2023,1,5.5,22.347668,-0.15990694,-0.014465175,-0.014558122,0.0040805135,-0.13537231,0.0,0.0,0.0,0.0,0.00818179,-0.0267276,0.021436382,0.0,0.0,0.00077219936,-0.0017743299,-0.0035511767,0.00017564572,0.09416015,-0.5787485,0.0091862995,-0.021336356,-0.12406951,0.0,-0.9908918,-3.5885763,-3.1152644
Singapore,2023,2,5.5,22.347668,-0.23515388,-0.031327326,-0.05052714,0.0040805135,-0.13537231,0.0,0.0,0.0,0.0,0.00818179,-0.0267276,0.021436382,0.0,0.0,0.00077219936,-0.0017743299,-0.0035511767,0.00017564572,0.09416015,-0.55747294,0.008509197,-0.021336356,-0.12406951,0.0,-1.0022502,-3.4697392,-3.1152644
Singapore,2023,3,5.5,22.3931,-0.23515388,-0.031327326,-0.05052714,0.0040805135,-0.13278934,0.0,0.0,0.0,0.0,0.00818179,-0.0267276,0.021436382,0.0,0.0,0.00077219936,-0.0017743299,0.033545956,0.00017564572,0.09416015,-0.554926,0.008283478,-0.021336356,-0.12406951,0.0,-0.99881977,-3.4697392,-3.1152644
Singapore,2023,4,5.5,22.347668,0.26081976,0.045770787,-0.014558122,0.0040805135,-0.13537231,0.0,0.0,0.0,0.0,0.00818179,-0.0267276,0.021436382,0.0,0.0,-0.009266393,-0.0017743299,-0.0035511767,0.00017564572,0.09416015,-0.5787485,0.019224891,-0.021336356,-0.12406951,0.0,-0.9305024,-4.129929,-3.1152644
Singapore,2023,5,5.5,22.331995,-0.15990694,-0.014465175,-0.014558122,0.0040805135,-0.13537231,0.0,0.0,0.0,0.0,0.00818179,-0.0267276,0.021436382,0.0,0.0,0.00077219936,-0.0017743299,-0.0035511767,0.00017564572,0.09416015,-0.5792645,-0.0026512074,-0.021336356,-0.12406951,0.0,-0.9908918,-3.591897,-3.1152644
Singapore,2023,6,5.5,22.347668,-0.23515388,-0.031327326,-0.017853923,0.0040805135,-0.13537231,0.0,0.0,0.0,0.0,0.00818179,-0.0267276,0.021436382,0.0,0.0,0.00077219936,-0.0017743299,-0.0035511767,0.00017564572,0.09416015,-0.55747294,0.008509197,-0.021336356,-0.12406951,0.0,-0.99891055,-3.5057518,-3.1152644
Singapore,2023,7,5.5,22.347668,-0.23515388,-0.031327326,-0.017853923,0.0040805135,-0.13537231,0.0,0.0,0.0,0.0,0.00818179,-0.0267276,0.021436382,0.0,0.0,0.00077219936,-0.0017743299,-0.0058724517,0.00017564572,0.09416015,-0.554926,0.008283478,-0.021336356,-0.12406951,0.0,-0.99891055,-3.5057518,-3.1152644
Singapore,2023,8,5.5,22.3931,-0.23515388,-0.031327326,-0.017853923,0.0040805135,-0.13278934,0.0,0.0,0.0,0.0,0.00818179,-0.0267276,0.021436382,0.0,0.0,0.00077219936,-0.0017743299,0.033545956,0.00017564572,0.09416015,-0.554926,0.008283478,-0.021336356,-0.12406951,0.0,-0.9954802,-3.5057518,-3.1152644
Singapore,2023,9,5.5,22.3931,-0.23515388,-0.031327326,-0.017853923,0.0040805135,-0.13278934,0.0,0.0,0.0,0.0,0.00818179,-0.0267276,0.021436382,0.0,0.0,0.00077219936,-0.0017743299,0.033545956,0.00017564572,0.09416015,-0.554926,0.008283478,-0.021336356,-0.12406951,0.0,-0.9954802,-3.5057518,-3.1152644
Singapore,2023,10,5.5,22.3931,-0.15990694,-0.014465175,-0.014558122,0.0040805135,-0.13278934,0.0,0.0,0.0,0.0,0.00818179,-0.0267276,0.021436382,0.0,0.0,-0.009266393,-0.0017743299,0.033545956,0.00017564572,0.09416015,-0.57620156,0.018999172,-0.021336356,-0.12406951,0.0,-0.98746145,-3.5885763,-3.1152644
Singapore,2023,11,5.5,22.323484,-0.23515388,-0.031327326,0.04421435,0.0040805135,-0.13278934,0.0,0.0,0.0,0.0,0.00818179,-0.027720077,0.021436382,0.0,0.0,0.00077219936,-0.0017743299,0.033545956,0.00017564572,0.09416015,-0.57426065,-0.0035540292,-0.021336356,-0.14031868,0.0,-0.9935516,-3.5137248,-3.192492
Singapore,2023,12,5.5,22.190523,-0.23515388,-0.031327326,-0.017853923,0.0040805135,-0.13351436,0.0,0.0,0.0,0.0,0.007214449,-0.027720077,0.021436382,0.0,0.0,0.00077219936,-0.0017743299,0.033545956,0.00017564572,0.036400635,-0.5771641,-0.06768345,-0.021336356,-0.1248858,0.0,-0.9969728,-3.5402138,-3.1224294
